instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_impact,day_type,holiday_type,day_holiday_type
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Light Snow/Rain,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Light Snow/Rain,Working Day,Non-Holiday,Working Day - Non-Holiday
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
